 dealer_name,total_rating,total_votes,year_established,alexaRank,pageViewsPerVisitor,dailyTimeOnSiteInSeconds,websiteURL
 Shahwar Nissan,3.8, 2435 ,2004,9025940,3.0,206,http://www.shahwarnissan.com
 Vijayachandra Mitsubishi,4.1, 41 ,2015,99999999,0,0,http://www.vijayachandramotors.in
 Brigade Honda,3.8, 195 ,2015,2320158,0,0,http://www.brigadehonda.com
 Volkswagen Bangalore,3.7, 2156 ,1989,99999999,0,0,http://www.volkswagenbangalore.co.in
 Sireesh Auto Pvt Ltd,4.0, 1749 ,2005,4231644,0,0,http://www.sireeshauto.com
 India Garage,3.9, 1123 ,2006,6498264,2.0,213,http://www.india-garage.in
 Bimal Auto Agency India Pvt Ltd,4.0, 1170 ,2002,1362692,0,0,http://www.bimalmaruti.com
 Elite Ford,3.8, 1016 ,2011,4512024,0,0,http://www.eliteford.co.in
 Pavan Hyundai,4.2, 79 ,NA,23966121,1.0,0,http://www.pavanhyundai.com
 Dakshin Honda,3.8, 1536 ,2008,13119619,0,0,http://www.dakshinhonda.com
 Gajan Motors,4.3, 137 ,1976,99999999,0,0,none
 Kalyani Motors Pvt Ltd,3.8, 46 ,2006,810586,0,0,http://www.kalyanimotors.com
 Sagar Automobile Consultants,3.5, 174 ,1983,99999999,0,0,none
 Lakshmi Hyundai,3.9, 1522 ,2012,5902709,3.0,208,http://www.lakshmihyundaibr.com
 Trident Auto Honda,4.1, 141 ,1997,8922169,2.0,108,http://www.tridentautohonda.com
 Nexa Koramangala Kataria Automobiles Pvt Ltd,4.5, 3 ,NA,2269649,0,0,http://www.Kataria.co.in
 Bimal Auto Agency India Pvt Ltd,3.9, 38 ,2012,99999999,0,0,none
 Akshaya Motors,4.0, 508 ,2011,3364011,2.1,119,http://www.akshayamotors.in
 Tafe Access Ltd,3.6, 1142 ,2001,5485987,0,0,http://www.tafeaccessskoda.co.in
 Varun motors,3.3, 3 ,2015,25327160,1.0,0,http://www.marutidealers.com
 Navnit Motors Pvt Ltd,3.9, 824 ,NA,99999999,0,0,none
 RNS Motors Limited,4.0, 5914 ,1998,2241701,0,0,http://www.rnsmaruti.com
 Ravindu Motors Pvt Ltd,4.1, 4017 ,2000,5681023,2.0,105,http://www.ravindutoyota.net
 Nandi Toyota Motor World,4.1, 2199 ,1999,2358113,0,0,http://www.nanditoyota.com
 Kalyani Motors Pvt Ltd,3.9, 5034 ,NA,810586,0,0,http://www.kalyanimotors.com
 Nexa Palace,3.9, 356 ,2015,99999999,0,0,http://www.nexaexperiance.com
 Pratham Nexa,3.8, 386 ,2015,99999999,0,0,http://www.nexabangalore.com
 Kalyani Motors-Nexa,3.8, 292 ,NA,810586,0,0,http://www.kalyanimotors.com
 Nandi Toyota Motor World Limited,4.1, 2907 ,1980,2358113,0,0,http://www.nanditoyota.com
 Pratham Motors,3.9, 1825 ,2002,1002517,0,0,http://www.prathammotors.com
 Kalyani Motors Pvt Ltd,3.9, 1497 ,2006,99999999,0,0,http://www.marutisuzukiertiga.com
 Sagar Automobiles,3.9, 993 ,1995,5027576,3.0,237,http://www.sagarauto.com
 Concorde Motors India Ltd,3.8, 2892 ,NA,776091,0,0,http://www.concordemotors.com
 Nexa,5.0, 1 ,NA,99999999,0,0,none
 Viva Toyota,4.0, 1713 ,2011,12131867,0,0,http://www.vivatoyota.co.in
 Anant Cars Auto Pvt Ltd,3.9, 1595 ,2012,4657708,0,0,http://www.anantcars.com
 Aadya Motors,3.8, 1941 ,2011,99999999,0,0,none
 Metro Ford,3.9, 2136 ,1996,4851452,2.0,160,http://www.metroford.in
 Bimal Auto Agency,3.9, 1308 ,2010,1362692,0,0,http://www.bimalmaruti.com
 Cauvery Motors Private Limited,3.9, 1889 ,1997,4051675,0,0,http://www.cauveryford.com
 Magnum Honda,3.9, 2228 ,NA,3486752,0,0,http://www.magnumhonda.com
 Sundaram Motors,3.9, 1625 ,1914,4248350,0,0,http://www.sundarammotors.in
 Anant Cars Auto Pvt Ltd,3.9, 488 ,2013,4657708,0,0,http://www.anantcars.com
 Ravindu Toyota,4.1, 836 ,2000,1007888,0,0,http:// www.toyotaetios.in
 Nandi Toyota,3.8, 243 ,2002,94125,0,0,http://www.toyotabharat.com
 Bangalore Motors Private Limited,3.9, 2098 ,2009,24123717,2.0,0,http://www.vwpalacecross.com
 Prerana Motors Pvt Ltd,3.9, 1043 ,NA,4771917,0,0,http://www.preranamotors.com
 Concorde Motors India Ltd,3.9, 1569 ,2007,99999999,0,0,http://www.concordemotors.com%2Cwww.cars.tatamotors.com
 Advaith Hyundai,4.0, 3914 ,NA,1209080,0,0,http://www.advaithhyundai.com
 Advaith Hyundai,4.0, 817 ,1989,1209080,0,0,http://www.advaithhyundai.com
 Bimal Nexa,3.9, 253 ,2015,10901165,2.0,0,http://www.bimalnexa.com
 Mandovi Motors Pvt Ltd,4.0, 656 ,2012,99999999,0,0,http://www.mandovimotors.in
 Mandovi Motors Pvt Ltd,4.0, 1100 ,1996,99999999,0,0,http://www.mandovimotors.in
 Nandi Toyota,4.0, 1009 ,2000,2358113,0,0,http://www.nanditoyota.com
 Blue Hyundai,3.9, 2703 ,2010,6284804,0,0,http://www.bluehyundai.co.in
 Trident Hyundai Showroom,4.0, 567 ,1998,243529,0,0,http://www.hyundai.co.in
 Mandovi Motors Pvt Ltd,4.0, 2421 ,1985,99999999,0,0,http://www.mandovimotors.in
 Mandovi Motors Pvt Ltd,4.0, 1561 ,1983,99999999,0,0,http://www.mandovimotors.in
 Metro Ford,3.8, 831 ,1996,99999999,0,0,http://www.metroford.com
 Pratham Motors Pvt Ltd,3.8, 665 ,2011,1002517,0,0,http://www.prathammotors.com
 Varun Motors Pvt Ltd,3.7, 83 ,2016,3510537,0,0,http://www.varungroup.com
