 dealer_name,total_rating,total_votes,year_established,alexaRank,pageViewsPerVisitor,dailyTimeOnSiteInSeconds,websiteURL
 Book My Carz,4.4, 12 ,2014,99999999,0,0,none
 Nexa,3.9, 343 ,2015,99999999,0,0,http://www.trsawhneymotors.com
 Koncept Hyundai,3.9, 6656 ,2011,99999999,0,0,http://www.koncepthyundai.com
 Pasco Automobiles,4.0, 3609 ,1992,99999999,0,0,http://www.pasco.in
 Renault Delhi East,3.8, 6215 ,2011,99999999,0,0,none
 Sri Durga Automobiles,3.9, 3553 ,NA,99999999,0,0,http://www.sridurgaautomobiles.com
 Koncept Automobiles Pvt Ltd,3.9, 857 ,2011,99999999,0,0,http://www.konceptmahindra.com
 Galaxy Toyota,4.1, 6727 ,2005,99999999,0,0,http://www.galaxytoyota.com
 Treo Nissan,4.0, 180 ,2015,99999999,0,0,none
 Jinder Pal Motors,4.5, 2 ,1986,99999999,0,0,http://www.Palmotors.co.in
 Renault Delhi East,3.8, 6215 ,2011,99999999,0,0,none
 Treo Nissan,4.0, 180 ,2015,99999999,0,0,none
 Jinder Pal Motors,4.5, 2 ,1986,99999999,0,0,http://www.Palmotors.co.in
 Car Boom,3.7, 145 ,2006,99999999,0,0,none
 Libra Motors,4.0, 219 ,2012,99999999,0,0,none
 Colors India Car Accersories,4.3, 9 ,2009,99999999,0,0,none
 Zedex Datsun,3.5, 152 ,2012,99999999,0,0,http://www.zedexnissan.co.in
 Singh Motors & Properties,4.0, 2 ,2016,99999999,0,0,none
 Auto Nation,3.1, 4 ,2013,99999999,0,0,none
 Galaxy Toyota,4.1, 6727 ,2005,99999999,0,0,http://www.galaxytoyota.com
 Sagar Motors,3.9, 35 ,2016,99999999,0,0,http://www.sagarmotors.co.in
 Shri Ram Motors,3.8, 13 ,1986,99999999,0,0,none
 Maruti new car brand dealer,3.5, 2 ,2016,99999999,0,0,none
 Rohan Motors Nexa,4.0, 60 ,2015,99999999,0,0,http://www.nexaexperience.com
 Prime Motor,4.0, 30 ,2009,99999999,0,0,http://www.carvekho.com
 Himgiri Cars Pvt Ltd,3.9, 1370 ,2010,99999999,0,0,http://www.himgiricars.com
 Book My Carz,4.4, 12 ,2014,99999999,0,0,none
 Treo Chevrolet,3.9, 1301 ,2013,99999999,0,0,http://www.treochevrolet.com
 Golden Automobiles,3.5, 2 ,NA,99999999,0,0,none
 Enn Kay The Car Point,4.0, 18 ,2001,99999999,0,0,none
 Tirupati Motor & Properties,4.8, 8 ,1990,99999999,0,0,none
 Chanson Cars Pvt Ltd,3.5, 2 ,2016,99999999,0,0,none
 Sapna Motors,3.9, 34 ,1982,99999999,0,0,none
 Car Town,2.4, 6 ,1999,99999999,0,0,none
 Nexa,3.8, 671 ,2015,99999999,0,0,http://www.trsawhneymotors.com
 Top Gear Automobile,3.7, 209 ,1999,99999999,0,0,none
 carvyapar.com,3.5, 2 ,2016,99999999,0,0,http://www.carvyapar.com
 Zaira Motors,3.9, 72 ,1996,99999999,0,0,http://www.zairamotors.com
 D D Motors,3.9, 5810 ,2003,99999999,0,0,http://www.ddmotors.in
 D D Motors,3.9, 2601 ,1996,99999999,0,0,http://www.ddmotors.net
 Nexa,3.9, 459 ,2015,99999999,0,0,http://www.nexaexperience.com
 D D Motors,4.0, 3223 ,NA,99999999,0,0,http://www.ddmotors.in
 Ring Road Honda,3.9, 13637 ,NA,99999999,0,0,none
 Competent Automobiles Co Ltd,3.9, 3149 ,1997,99999999,0,0,http://www.competent-maruti.com
 Hans Hyundai A Unit Of Charu Motors,3.9, 6737 ,1999,99999999,0,0,http://www.hanshyundai.com
 Competent Automobiles Co Ltd,3.8, 1284 ,1983,99999999,0,0,http://www.competent-maruti.com
 Saya Automobiles Ltd,3.8, 1038 ,1988,99999999,0,0,none
 Nexa,3.9, 278 ,2015,99999999,0,0,http://www.nexaexperience.com
 Nexa Fairdeal Cars Pvt Ltd,3.9, 362 ,2015,99999999,0,0,http://www.nexaexperience.com
 Prime Honda Capital Cars Pvt Ltd,4.0, 1347 ,NA,99999999,0,0,http://www.primehonda.com
 Rana Motors Pvt Ltd,4.0, 1588 ,NA,99999999,0,0,http://www.ranamotors.in
 Rana Motors Pvt Ltd,3.9, 1127 ,NA,99999999,0,0,http://www.ranamotors.in
 Nexa,3.9, 242 ,2015,99999999,0,0,http://www.nexaexperience.com
 Rohan Motors Ltd,3.9, 1249 ,2003,99999999,0,0,http://www.rohanmotors.in
 Renault Delhi West,3.9, 1330 ,NA,99999999,0,0,http://www.renault.co.in
 Nexa,3.7, 169 ,2015,99999999,0,0,http://www.nexaexperience.com
 Vipul Motors Pvt Ltd,4.0, 1732 ,1988,99999999,0,0,http://www.vipulmotors.com
 Prem Motors Pvt Ltd,4.0, 145 ,1990,99999999,0,0,http://www.premmotors.com
 Krish Automotors Pvt Ltd,4.0, 525 ,2009,99999999,0,0,http://www.krishautomotors.com
 Magic Auto,4.0, 2197 ,NA,99999999,0,0,http://www.magicmaruti.com
 AAA Vehicleades Pvt Ltd,4.0, 413 ,2008,99999999,0,0,http://www.aaavehicleades.com
 Koncept Automobiles Pvt Limited,4.0, 3444 ,NA,99999999,0,0,http://www.konceptmahindra.com
 T R Sawhney Motors Pvt Ltd,3.7, 865 ,2007,99999999,0,0,http://www.trsawhneymotors.com
 MGF Toyota Capital Vehicles Sales Ltd,4.1, 2096 ,NA,99999999,0,0,http://www.mgftoyota.co.in
 Magic Auto Pvt Ltd,3.8, 564 ,2003,99999999,0,0,none
 Classic Honda,4.1, 977 ,2007,99999999,0,0,http://www.classichonda.co.in
 Lally Automobiles Pvt Ltd,3.8, 1381 ,2008,99999999,0,0,http://www.courtesyhonda.in
 Rana Motors,3.6, 132 ,2015,99999999,0,0,http://www.ranamotors.co.in
 Harpreet Ford,3.8, 1130 ,2010,99999999,0,0,http://www.harpreetford.com
 Shiva Motors,3.7, 776 ,NA,99999999,0,0,http://www.shivamotors.in
 Samara Hyundai,3.9, 443 ,2012,99999999,0,0,http://www.samarahyundai.com
 T & T Motors Pvt  Ltd,4.1, 877 ,2016,99999999,0,0,http://www.tandtmotorsdelhi.in
 Magic Auto,4.0, 654 ,2015,99999999,0,0,http://www.magicmaruti.com
 Prem Motors,3.9, 124 ,2015,99999999,0,0,http://www.premmotors.com
 D D Motors Pvt Ltd,3.9, 570 ,NA,99999999,0,0,http://www.ddmotors.net
 Galaxy Toyota,4.1, 1351 ,2009,99999999,0,0,http://www.galaxytoyota.com
 Silver Arrow Automobiles Pvt Ltd,4.1, 1307 ,2012,99999999,0,0,http://www.silverarrows.in
 Nexa,4.0, 22 ,2016,99999999,0,0,http://www.nexaexperience.com
 Unity Hyundai,4.1, 160 ,2015,99999999,0,0,http://www.unityhyundai.com
 Mahadev Hyundai,3.8, 443 ,2013,99999999,0,0,http://mahadev.hyundaimotor.in
 AMP Motors,4.2, 1003 ,2010,99999999,0,0,http://www.ampmotors.in
 Regent Autolinks Pvt Ltd,4.0, 432 ,NA,99999999,0,0,none
 T & T Motors Private Limited,4.1, 413 ,NA,99999999,0,0,http://www.tandtmotors.co.in
 D D Nexa,4.4, 26 ,2016,99999999,0,0,http://www.ddnexa.com
 Delight Honda,4.0, 506 ,2007,99999999,0,0,none
 Auto Vikas Sale & Services,3.7, 630 ,2014,99999999,0,0,none
 Vipul Motors Pvt Ltd,4.0, 207 ,1999,99999999,0,0,http://www.vipulmotors.com
 Rana Motors Pvt Ltd,3.8, 24 ,2016,99999999,0,0,http://www.ranamotors.co.in
 Mahindra First Choice,3.5, 238 ,1997,99999999,0,0,none
 Rohan Motors Ltd,4.0, 1017 ,NA,99999999,0,0,http://www.rohanmotors.in
 Bagga Link Motors Pvt Ltd,3.9, 265 ,NA,99999999,0,0,http://www.baggalinkmaruti.com
 Galaxy Toyota,4.0, 2568 ,2008,99999999,0,0,http://www.galaxytoyota.com
 Graduate Motors palace,3.8, 105 ,1984,99999999,0,0,none
 Uttam Toyota,4.1, 308 ,1998,99999999,0,0,http://www.uttamtoyota.com
 Concorde Motors India Limited,3.9, 415 ,2012,99999999,0,0,http://www.concordemotors.com
 Himgiri Automobiles Pvt Ltd,3.9, 2146 ,2011,99999999,0,0,http://www.himgirigurgaon.com
 Pearl Honda,3.8, 1105 ,NA,99999999,0,0,none
 Dream Hyundai.,3.8, 298 ,NA,99999999,0,0,http://www.dream.hyundaimotor.in
 RALLY MOTORS,3.7, 129 ,2000,99999999,0,0,none
 Magic Auto,3.9, 4992 ,NA,99999999,0,0,http://www.magicmaruti.com
 V Go Ford,3.8, 479 ,2013,99999999,0,0,http://www.vgoford.in
 T & T Motors Private Limited,4.1, 330 ,1998,99999999,0,0,http://www.tandtmotors.co.in
